dt,global,tropical,south,north
1900-01-01,11.55517,22.97745945945946,19.990000000000002,2.9539464285714283
1900-02-01,13.583870000000001,24.11835135135135,20.416714285714285,5.769482142857143
1900-03-01,16.425790000000003,25.64691891891892,19.448714285714285,9.955392857142856
1900-04-01,19.52093,26.15854054054054,17.071,15.441607142857142
1900-05-01,22.025109999999998,26.09383783783784,15.254,20.183232142857143
1900-06-01,23.56719,25.208513513513516,13.69157142857143,23.71719642857143
1900-07-01,24.252010000000006,24.16351351351351,13.037999999999998,25.712232142857143
1900-08-01,23.98136,24.226783783783784,12.915142857142857,25.202482142857146
1900-09-01,22.167909999999996,24.61532432432433,14.442285714285715,21.516571428571428
1900-10-01,19.746,24.635756756756756,15.511571428571429,17.04457142857143
1900-11-01,16.31183,24.067351351351352,17.452571428571428,11.04505357142857
1900-12-01,13.18618,23.27243243243243,19.032999999999998,5.791196428571429
1901-01-01,11.85322,23.176081081081076,19.325,3.4380714285714284
1901-02-01,12.662259999999998,23.816135135135138,20.312000000000005,4.336517857142858
1901-03-01,16.50939,25.119513513513514,18.890428571428572,10.52292857142857
1901-04-01,19.76389,25.841432432432434,16.956142857142858,16.099339285714283
1901-05-01,21.91599,25.82337837837838,14.757142857142856,20.22917857142857
1901-06-01,23.793310000000005,25.036432432432434,12.789428571428573,24.347446428571427
1901-07-01,24.191640000000007,24.241594594594595,12.460857142857142,25.62498214285714
1901-08-01,23.816660000000002,24.13156756756757,13.323571428571428,24.92023214285714
1901-09-01,22.388830000000002,24.80186486486486,14.67542857142857,21.758678571428568
1901-10-01,19.53462,24.542378378378377,15.624285714285714,16.714714285714283
1901-11-01,15.873950000000002,23.83727027027027,17.562857142857144,10.401357142857142
1901-12-01,12.629770000000002,22.782621621621622,18.836857142857145,5.1457500000000005
1902-01-01,12.333530000000001,22.79364864864865,19.571428571428573,4.5176428571428575
1902-02-01,13.614270000000003,23.77581081081081,20.453,6.045553571428572
1902-03-01,16.99692,25.14164864864865,19.267857142857142,11.331714285714286
1902-04-01,19.38542,25.872621621621622,17.187857142857144,15.373928571428573
1902-05-01,21.92772,26.12335135135135,15.487285714285715,19.960660714285716
1902-06-01,23.399630000000002,25.24,13.30942857142857,23.444946428571427
1902-07-01,23.89072,24.40835135135135,13.042,24.90480357142857
1902-08-01,23.480190000000004,24.473702702702703,12.365571428571428,24.213089285714286
1902-09-01,22.031,24.520756756756754,14.144,21.371857142857145
1902-10-01,19.42955,24.30964864864865,15.723285714285712,16.66848214285714
1902-11-01,16.27375,23.881,18.134714285714285,11.014910714285715
1902-12-01,12.69402,22.86364864864865,19.548857142857145,5.117946428571429
1903-01-01,11.915840000000003,22.92121621621622,19.534142857142857,3.692142857142857
1903-02-01,13.438429999999997,23.62,20.258714285714287,5.858785714285714
1903-03-01,16.530810000000002,24.997918918918916,19.813285714285712,10.526160714285714
1903-04-01,19.398480000000003,25.75143243243243,16.62157142857143,15.548107142857143
1903-05-01,21.95005,25.763945945945945,14.353571428571428,20.37971428571429
1903-06-01,23.3774,25.067486486486484,12.866857142857143,23.574553571428574
1903-07-01,23.906369999999995,24.07251351351351,12.222571428571428,25.257071428571425
1903-08-01,23.52752999999999,24.054783783783783,13.043857142857146,24.489624999999997
1903-09-01,22.040420000000008,24.29624324324324,14.484571428571428,21.494446428571425
1903-10-01,19.0894,24.268702702702704,15.306285714285716,16.14025
1903-11-01,15.41313,23.45178378378379,17.24342857142857,9.873089285714286
1903-12-01,12.310599999999999,22.47537837837838,19.036285714285718,4.753875
1904-01-01,11.242920000000002,22.498297297297302,19.708285714285715,2.748160714285714
